,headline,date,year exp,score,pros,cons,company,position,raw_reviews,Introvert_Extrovert,Intuition_Sensing,Thinking_Feeling,Judging_Perceiving,Innovative_Traditional,Personality,reviews,emotions,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,is_exclusive,is_open,exclusive_openness
1166,The best option for a first job,2022-07-20,"Former Employee, more than 5 years",4,Nice working environment (Changi Airport),"The promotion system is a bit slow, it takes about 10 years for an employee to become an executive, then another 10 years to operations manager.",Certis, Senior Flight Supervisor,"Nice working environment (Changi Airport)The promotion system is a bit slow, it takes about 10 years for an employee to become an executive, then another 10 years to operations manager.",Extrovert,Sensing,Thinking,Judging,traditional,ESJT,nice working environment changi airportthe promotion system bit slow takes 10 years employee become executive another 10 years operations manager,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,0,0,0,0,0,0,1,0,1,Open
1167,Life as a APO in Certis,2022-07-19,"Current Employee, more than 5 years",4,Earn Good Salary and able to support you and your family.,"Poor Work Life Balance, Spent more time at work compare to family members",Certis, Auxiliary Police Officer,"Earn Good Salary and able to support you and your family.Poor Work Life Balance, Spent more time at work compare to family members",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,earn good salary able support familypoor work life balance spent time work compare family members,"{'Positive': 2, 'Negative': 1, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,1,0,2,0,0,1,0,1,1,0,4,Open
1168,So far so good,2022-08-02,Former Employee,3,Freedom pretty good salary not bad,Long working hours a lot OT,Certis, Enforcement Officer,Freedom pretty good salary not badLong working hours a lot OT,Extrovert,Intuition,Thinking,Perceiving,traditional,ENPT,freedom pretty good salary badlong working hours lot ot,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",2,0,0,1,0,0,2,0,1,2,0,5,Open
1169,PT HA @ TTSH,2022-07-17,"Current Employee, less than 1 year",5,"Flexible schedule
Double pay on Public Holidays",No transport allowance given in view of how early the shift starts.,Certis, Health Assistant,"Flexible schedule
Double pay on Public HolidaysNo transport allowance given in view of how early the shift starts.",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,flexible schedule double pay public holidaysno transport allowance given view early shift starts,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,0,0,3,0,0,1,0,0,1,0,5,Open
1170,False promises,2022-08-02,Former Employee,2,If you love to be a police but cant get in spf. This is the job for you,If you drag going through army. You going through the same thing again,Certis, APO,If you love to be a police but cant get in spf. This is the job for youIf you drag going through army. You going through the same thing again,Introvert,Sensing,Thinking,Judging,innovative,ISJT,love police cant get spf job youif drag going army going thing,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",2,0,0,0,0,0,1,0,0,0,0,1,Open
1171,"Certis,",2022-07-28,"Current Employee, more than 5 years",2,You have some good colleagues and the working in an airport feeling.,"Terrible bosses, Treat you like you are worth nothing in the company. Dirty Politics, IF BOSS likes you and lick their shoes you will have a good life. If not you will rot in wherever you are.",Certis, Operation Executive,"You have some good colleagues and the working in an airport feeling.Terrible bosses, Treat you like you are worth nothing in the company. Dirty Politics, IF BOSS likes you and lick their shoes you will have a good life. If not you will rot in wherever you are.",Extrovert,Sensing,Thinking,Judging,traditional,ESJT,good colleagues working airport feelingterrible bosses treat like worth nothing company dirty politics boss likes lick shoes good life rot wherever are,"{'Positive': 4, 'Negative': 3, 'Anger': 1, 'Anticipation': 4, 'Disgust': 3, 'Fear': 2, 'Joy': 3, 'Sadness': 2, 'Surprise': 3, 'Trust': 3}",4,3,1,4,3,2,3,2,3,3,6,10,Open
1172,Average,2022-07-28,Current Employee,2,Nice colleague in the office,Low pay and low increment,Certis, Assistant Manager,Nice colleague in the officeLow pay and low increment,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,nice colleague officelow pay low increment,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,1,0,0,1,0,0,1,0,3,Open
1173,Admin,2022-08-14,Current Employee,1,"Nil, not much bonus money",Increment only 50 and not much bonus,Certis, Administrative,"Nil, not much bonus moneyIncrement only 50 and not much bonus",Introvert,Sensing,Thinking,Perceiving,traditional,ISPT,nil much bonus moneyincrement 50 much bonus,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 2, 'Trust': 0}",2,0,0,2,0,0,2,0,2,0,0,4,Open
1174,Good Company,2022-07-05,"Current Employee, more than 8 years",4,Good working environment with sincere colleagues who want to get things done. Flexible working arrangements and decent benefits.,"Low basic salary, No Flexi benefits",Certis, Operations Solution Architect,"Good working environment with sincere colleagues who want to get things done. Flexible working arrangements and decent benefits.Low basic salary, No Flexi benefits",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,good working environment sincere colleagues want get things done flexible working arrangements decent benefitslow basic salary flexi benefits,"{'Positive': 4, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",4,0,0,1,0,0,1,0,1,1,0,3,Open
1175,Tow truck,2022-07-06,"Former Employee, more than 5 years",5,It was a very fun environment with many benefits.,Need to be discipline and punctual to work.,Certis, Tow Truck Driver,It was a very fun environment with many benefits.Need to be discipline and punctual to work.,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,fun environment many benefitsneed discipline punctual work,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",3,0,0,2,0,0,1,0,0,1,0,4,Open
1176,ok,2022-07-05,"Current Employee, more than 1 year",4,"ok, stable company, ok to work long term","none, cant think of any",Certis, Group Manager,"ok, stable company, ok to work long termnone, cant think of any",Extrovert,Intuition,Feeling,Judging,traditional,ENJF,ok stable company ok work long termnone cant think,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,1,0,0,0,0,0,0,0,1,Open
1177,Long hours,2022-07-20,"Former Employee, more than 5 years",3,Big starting salary for permanent residents,long hours. little to no progression in terms of pay. bias management,Certis, APO,Big starting salary for permanent residentslong hours. little to no progression in terms of pay. bias management,Extrovert,Intuition,Thinking,Perceiving,innovative,ENPT,big starting salary permanent residentslong hours little progression terms pay bias management,"{'Positive': 2, 'Negative': 1, 'Anger': 1, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,1,1,3,0,0,2,0,0,1,1,6,Open
1178,Title,2022-07-05,Former Employee,4,Good workplace and great tim,Not much issues to comment,Certis, Anonymous Employee,Good workplace and great timNot much issues to comment,Introvert,Sensing,Feeling,Judging,innovative,ISJF,good workplace great timnot much issues comment,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",1,0,0,1,0,0,1,0,1,1,0,3,Open
1179,"Great benefits, good culture but low",2022-07-15,"Former Employee, more than 5 years",3,"Good culture 
Care for staff
Well established SOP",Low base pay and long hours,Certis, Anonymous Employee,"Good culture 
Care for staff
Well established SOPLow base pay and long hours",Extrovert,Sensing,Thinking,Judging,traditional,ESJT,good culture care staff well established soplow base pay long hours,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 4}",2,0,0,3,0,0,2,0,1,4,0,9,Open
1180,Singapore Company,2022-07-31,"Current Employee, more than 3 years",1,"If you are looking for a stable Singapore Company, then yes.","If you are looking for diversity and career growth, you may think twice.",Certis, Assistant Manager,"If you are looking for a stable Singapore Company, then yes.If you are looking for diversity and career growth, you may think twice.",Introvert,Intuition,Thinking,Judging,traditional,INJT,looking stable singapore company yesif looking diversity career growth may think twice,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",2,0,0,1,0,0,0,0,0,0,0,1,Open
1181,Too much politics,2022-07-09,Current Employee,3,Opportunities within company for learning new skills,Too much changes without clear directions from corporate. Too much politics,Certis, Anonymous Employee,Opportunities within company for learning new skillsToo much changes without clear directions from corporate. Too much politics,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,opportunities within company learning new skillstoo much changes without clear directions corporate much politics,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
1182,Perfect role for diploma graduates,2022-06-25,Current Employee,5,"Flexible hours, able to choose the days which you want to work. Minimum 4 days a week. 

Manageable tasks (e.g. serve patients, clear patient linen, refill PPE stations, send laboratory specimens, collect inpatient/discharge medication, patient transfers etc)

Good working environment, supervisors are very understandable!","Long hours (12 hours shift with two unpaid breaks)

Often overwhelming number of tasks to be fulfilled",Certis, Healthcare Assistant,"Flexible hours, able to choose the days which you want to work. Minimum 4 days a week. 

Manageable tasks (e.g. serve patients, clear patient linen, refill PPE stations, send laboratory specimens, collect inpatient/discharge medication, patient transfers etc)

Good working environment, supervisors are very understandable!Long hours (12 hours shift with two unpaid breaks)

Often overwhelming number of tasks to be fulfilled",Introvert,Intuition,Feeling,Judging,traditional,INJF,flexible hours able choose days want work minimum 4 days week manageable tasks eg serve patients clear patient linen refill ppe stations send laboratory specimens collect inpatientdischarge medication patient transfers etc good working environment supervisors understandablelong hours 12 hours shift two unpaid breaks often overwhelming number tasks fulfilled,"{'Positive': 7, 'Negative': 3, 'Anger': 1, 'Anticipation': 4, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 1, 'Surprise': 2, 'Trust': 1}",7,3,1,4,0,0,1,1,2,1,1,6,Open
1183,Money over Time,2022-07-07,Current Employee,3,Training is provided and pays quite well,Very little work life balance,Certis, Police Officer,Training is provided and pays quite wellVery little work life balance,Extrovert,Sensing,Feeling,Judging,traditional,ESJF,training provided pays quite wellvery little work life balance,"{'Positive': 1, 'Negative': 1, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,1,0,1,0,0,1,0,0,1,0,3,Open
1184,Ok,2022-07-05,"Current Employee, more than 5 years",3,"Stable company, no layoff during covid",None at the moment that i can think of,Certis, Anonymous Employee,"Stable company, no layoff during covidNone at the moment that i can think of",Extrovert,Sensing,Feeling,Judging,traditional,ESJF,stable company layoff covidnone moment think,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
1185,Work prospect,2022-06-19,"Former Employee, more than 5 years",5,Timely and good structured organisation,Fast pace and multiple hat,Certis, Operations,Timely and good structured organisationFast pace and multiple hat,Extrovert,Sensing,Thinking,Judging,innovative,ESJT,timely good structured organisationfast pace multiple hat,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",1,0,0,2,0,0,1,0,1,1,0,4,Open
1186,Salary,2022-06-18,"Current Employee, more than 1 year",5,Salary is good and near my house,"Sup is very unprofessional, talking their own language most of the time. No respect for others.",Certis, Senior Security Officer,"Salary is good and near my houseSup is very unprofessional, talking their own language most of the time. No respect for others.",Extrovert,Sensing,Thinking,Judging,traditional,ESJT,salary good near housesup unprofessional talking language time respect others,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",3,0,0,3,0,0,2,0,1,2,0,7,Open
1187,Great part time benefits,2022-06-17,"Former Employee, more than 1 year",4,Company offers flexible working schedule,"salary is only paid while on duty, preparation time is not included",Certis, Auxilliary Police Officer,"Company offers flexible working schedulesalary is only paid while on duty, preparation time is not included",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,company offers flexible working schedulesalary paid duty preparation time included,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,1,0,0,0,0,0,0,0,1,Open
1188,Nice collegues but bad work environment,2022-06-30,"Current Employee, less than 1 year",3,work friendly and kind collegues,rules and regulations are too much,Certis, Security Officer,work friendly and kind colleguesrules and regulations are too much,Extrovert,Sensing,Thinking,Perceiving,traditional,ESPT,work friendly kind colleguesrules regulations much,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 0, 'Trust': 2}",2,0,0,0,0,0,2,0,0,2,0,4,Open
1189,Good for retirement,2022-06-28,"Former Employee, more than 1 year",3,"Stable and job is the same everyday , no surprises","Long working hrs 12-13 hrs 
Always no staff
Exposed to smoky condition from vehicles
Management does not support officer and give in too much becoming a yes man to clients request",Certis, Senior Security Officer,"Stable and job is the same everyday , no surprisesLong working hrs 12-13 hrs 
Always no staff
Exposed to smoky condition from vehicles
Management does not support officer and give in too much becoming a yes man to clients request",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,stable job everyday  surpriseslong working hrs 1213 hrs always staff exposed smoky condition vehicles management support officer give much becoming yes man clients request,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
1190,Job culture,2022-07-19,"Former Employee, more than 1 year",1,Don't join especially if you are malaysian.not recommended totally,Too much favourism culture in work places,Certis, Security Officer,Don't join especially if you are malaysian.not recommended totallyToo much favourism culture in work places,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,join especially malaysiannot recommended totallytoo much favourism culture work places,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,0,0,0,0,0,0,0,0,1,0,1,Open
1191,High pay,2022-06-13,"Former Employee, more than 1 year",4,"Depends on which you are you posted,","Long working hrs, roatating shift",Certis, APO,"Depends on which you are you posted,Long working hrs, roatating shift",Introvert,Intuition,Thinking,Judging,innovative,INJT,depends postedlong working hrs roatating shift,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",0,0,0,1,0,0,0,0,0,1,0,2,Open
1192,Good environment but poor management,2022-06-06,"Current Employee, more than 3 years",5,Fun working collegue with same mind set,Long working hours and short of manpower,Certis, Customer Service Officer,Fun working collegue with same mind setLong working hours and short of manpower,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,fun working collegue mind setlong working hours short manpower,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,1,0,0,1,0,0,0,0,2,Open
1193,apo,2022-06-21,Current Employee,2,Salary wise is not bad,Long hours and compulsory OT,Certis, APO,Salary wise is not badLong hours and compulsory OT,Extrovert,Intuition,Thinking,Perceiving,traditional,ENPT,salary wise badlong hours compulsory ot,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
1194,Great company,2022-06-04,"Former Employee, more than 1 year",5,can know a lot of people,"working hours too long, cant rest much",Certis, Auxiliary Police Officer,"can know a lot of peopleworking hours too long, cant rest much",Extrovert,Sensing,Feeling,Judging,traditional,ESJF,know lot peopleworking hours long cant rest much,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,1,0,0,0,0,0,0,0,1,Open
1195,Nothing else to add,2022-07-08,Former Employee,1,"The Sales is guaranteed

-","0 work life balance
-",Certis, Account Manager,"The Sales is guaranteed

-0 work life balance
-",Introvert,Sensing,Feeling,Judging,traditional,ISJF,sales guaranteed 0 work life balance ,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
1196,Lack of exposure or cross train,2022-06-16,Former Employee,3,Weell know company with high profile cliemt,Salary way too low compare to market price. Management level need to really monitor staff performance and contribution. Manager seem to ignore 2nd chance to show employee their capability.,Certis, Service Engineer,Weell know company with high profile cliemtSalary way too low compare to market price. Management level need to really monitor staff performance and contribution. Manager seem to ignore 2nd chance to show employee their capability.,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,weell know company high profile cliemtsalary way low compare market price management level need really monitor staff performance contribution manager seem ignore 2nd chance show employee capability,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 2}",1,0,0,0,0,0,0,0,0,2,0,2,Open
1197,Politics,2022-06-16,Former Employee,2,Should be happy if you hv a job... nothing else to say good about the job. Hv work life balance cause salary so low,Life will not b easy if u are new,Certis, Sales Coordinator,Should be happy if you hv a job... nothing else to say good about the job. Hv work life balance cause salary so lowLife will not b easy if u are new,Extrovert,Intuition,Feeling,Judging,traditional,ENJF,happy hv job nothing else say good job hv work life balance cause salary lowlife b easy u new,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",3,0,0,1,0,0,1,0,1,1,0,3,Open
1198,Gross salary could  achieve $1600 to $1800 per month,2022-05-31,"Former Employee, more than 1 year",4,"-good environment.
-nice teamwork.
-salary on date.","-restless.
-less anual leave.
-hard to get leave for long days.",Certis, Avso,"-good environment.
-nice teamwork.
-salary on date.-restless.
-less anual leave.
-hard to get leave for long days.",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,good environment nice teamwork salary daterestless less anual leave hard get leave long days,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,2,0,0,1,0,1,1,0,4,Open
1199,Good working environment,2022-05-30,"Former Employee, less than 1 year",4,"Easy job, kind colleagues and work is simple",No cons work is easy,Certis, Cash Management Officer,"Easy job, kind colleagues and work is simpleNo cons work is easy",Extrovert,Sensing,Feeling,Judging,innovative,ESJF,easy job kind colleagues work simpleno cons work easy,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,0,0,0,0,0,1,0,0,1,0,2,Open
1200,No work-life balance,2022-06-13,"Former Employee, less than 1 year",2,"- Good OT pay
- Stable pay
- Good experience to hone interpersonal skills depending on deployment 
- Good to work as “a stepping stone job” for uniform group","- Very tiring working 12 hour shifts for days and days straight
- Not like government jobs with rotational shifts
- No work-life balance, OFF days used to rest rather than to spend time with family and friends",Certis, Auxiliary Police Officer,"- Good OT pay
- Stable pay
- Good experience to hone interpersonal skills depending on deployment 
- Good to work as “a stepping stone job” for uniform group- Very tiring working 12 hour shifts for days and days straight
- Not like government jobs with rotational shifts
- No work-life balance, OFF days used to rest rather than to spend time with family and friends",Introvert,Intuition,Feeling,Perceiving,innovative,INPF, good ot pay  stable pay  good experience hone interpersonal skills depending deployment  good work a stepping stone job uniform group tiring working 12 hour shifts days days straight  like government jobs rotational shifts  worklife balance days used rest rather spend time family friends,"{'Positive': 10, 'Negative': 1, 'Anger': 1, 'Anticipation': 7, 'Disgust': 0, 'Fear': 0, 'Joy': 6, 'Sadness': 0, 'Surprise': 3, 'Trust': 8}",10,1,1,7,0,0,6,0,3,8,1,21,Open
1201,OK,2022-06-11,"Current Employee, less than 1 year",3,No need to think too much,sweating every now and then,Certis, Instructor,No need to think too muchsweating every now and then,Extrovert,Intuition,Feeling,Judging,traditional,ENJF,need think muchsweating every,{},,,,,,,,,,,0,0,Open
1202,"Good people, bad director",2022-06-09,"Former Employee, more than 3 years",3,Everyone there will help one another,Director having an affair with colleague. Favouritism towards her,Certis, Anonymous Employee,Everyone there will help one anotherDirector having an affair with colleague. Favouritism towards her,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,everyone help one anotherdirector affair colleague favouritism towards,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
1203,Certis,2022-06-09,Current Employee,3,"Flexible Job
Good lower/middle management culture
Decent corporate benefit","Low salary
Low morale among executives",Certis, Operations Manager,"Flexible Job
Good lower/middle management culture
Decent corporate benefitLow salary
Low morale among executives",Introvert,Intuition,Thinking,Judging,innovative,INJT,flexible job good lowermiddle management culture decent corporate benefitlow salary low morale among executives,"{'Positive': 4, 'Negative': 0, 'Anger': 1, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",4,0,1,1,0,0,1,0,1,2,1,4,Open
1204,Apo,2022-06-06,Current Employee,3,"Good pay and location , need more allowance","No family time, long hours 
No progression",Certis, Auxiliary Police Officer,"Good pay and location , need more allowanceNo family time, long hours 
No progression",Introvert,Intuition,Thinking,Perceiving,innovative,INPT,good pay location  need allowanceno family time long hours progression,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 5, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",3,0,0,5,0,0,3,0,1,2,0,10,Open
1205,Not bad for a Part-time Role,2022-05-23,"Former Employee, less than 1 year",5,"- Training provided
- adaptability
- flexible (PT)",So far a good experience,Certis, Assistant Executive,"- Training provided
- adaptability
- flexible (PT)So far a good experience",Introvert,Intuition,Thinking,Perceiving,innovative,INPT, training provided  adaptability  flexible ptso far good experience,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
1206,good work place environment,2022-05-20,Former Employee,5,"good pay 
free food
not very busy",12h shift so very tiring somtimes,Certis, Call Center Agent,"good pay 
free food
not very busy12h shift so very tiring somtimes",Introvert,Intuition,Thinking,Perceiving,innovative,INPT,good pay free food busy12h shift tiring somtimes,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 1, 'Trust': 3}",3,0,0,2,0,0,3,0,1,3,0,8,Open
1207,Customer Service,2022-05-20,Current Employee,4,Get to work hand in hand with the facility team to learn more about the daily operations of the building,1 man show at the counter which can get a little mundane,Certis, Receptionist/Administrative Assistant,Get to work hand in hand with the facility team to learn more about the daily operations of the building1 man show at the counter which can get a little mundane,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,get work hand hand facility team learn daily operations building1 man show counter get little mundane,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 2}",1,0,0,0,0,0,0,0,0,2,0,2,Open
1208,Ok,2022-06-01,"Current Employee, more than 1 year",3,There is worklife balance but not a lot,No progression but very relaxed work pace,Certis, Firing Point Safety Officer,There is worklife balance but not a lotNo progression but very relaxed work pace,Introvert,Sensing,Thinking,Judging,innovative,ISJT,worklife balance lotno progression relaxed work pace,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,1,0,0,1,0,0,0,0,2,Open
1209,Ok,2022-06-02,"Former Employee, less than 1 year",3,Stable income. Decent variable and joining bonus,Lack of progession if you work under the radar and do not cosy up to your superiors,Certis, Auxiliary Police Officer,Stable income. Decent variable and joining bonusLack of progession if you work under the radar and do not cosy up to your superiors,Extrovert,Intuition,Thinking,Perceiving,traditional,ENPT,stable income decent variable joining bonuslack progession work radar cosy superiors,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",3,0,0,0,0,0,0,0,0,1,0,1,Open
1210,deployment,2022-06-02,Former Employee,3,flexible working schedules for weeks,deployment can have last minute changes,Certis, Anonymous Employee,flexible working schedules for weeksdeployment can have last minute changes,Introvert,Sensing,Thinking,Perceiving,innovative,ISPT,flexible working schedules weeksdeployment last minute changes,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
