,date,year exp,score,pros,cons,position
746,2021-08-07,Current Employee,5.0,Working style and work environment is top notch.,Till now i didnt find any cons.,Moderator
747,2021-08-25,Current Employee,2.0,It paid before the shut down,Now it doesn't work any more,Anonymous Employee
748,2021-08-23,"Former Employee, more than 1 year",4.0,"1. the simple and positive culture, 2. do not boost your ego","1. lack of promotion, 2. No all employee salary increase",Payroll Specialist
749,2021-08-23,"Current Employee, more than 1 year",4.0,"The company looks after the employees well by giving out gifts as tokens for their hard work and the time they spent working. Salary wise is good and offers higher income than any other company. There are online events that can be joined during the times we have to work from home, just to destress ourselves.","In-house policies kept changing all the time, and pretty much a really fast-paced company. Mental health is also at risk as there is plenty of graphic content that is needed to be watched all the time, and the support system and the management team do not really help that much.",Content Moderator
750,2021-08-24,Current Employee,3.0,"good canteen, free meal, afternoon tea, working space","Work life balance, overtiming , working space",Recruiter
751,2021-08-20,Current Employee,4.0,"Colleagues are nice and professional., Three free meals plus one afternoon tea.",Working span is bit longer than the other tech companies.,Software Engineer
752,2021-08-21,"Former Employee, less than 1 year",4.0,"Adequate support from data engineer teams, Lark app is handy, Program managers are nice","Excessive overtime, Office space is small, Opportunity to raise is opaque",Data Scientist
753,2021-08-02,Current Employee,5.0,You will get gifts from time to time,Organization is really amazing to work with,Quality Analyst
754,2021-08-20,Former Employee,3.0,"- Good salary, - Good benefits",- Mismanaged because of new team,Sales Representative
755,2021-08-04,Current Employee,5.0,it's pretty good so far,it has been quite hectic,Music operations specialist
756,2021-09-07,"Current Employee, more than 1 year",1.0,amazing collaboration tool called feishu,bad leadership style and organization management,Project Management Office (PMO)
757,2021-08-02,Current Employee,5.0,"Employee centric, takes care of employees in every aspect, awesome place to work","Nothing I can think of as of now, but sometimes process not being followed",Account Manager
758,2021-08-16,Former Employee,4.0,"Pros, , Great benefits, great workspace, the coworkers are the best part of the job and the leadership provides great support.","Cons, , It is extremely repetitive and that can get overwhelming really fast. It changes constantly and reaching the daily hours expected can be very frustrating.",Annotation Analyst
759,2021-08-14,Current Employee,4.0,Good platform for no-experienced people,Too much work and little time for self improvement,Software Developer
760,2021-07-30,"Current Employee, more than 1 year",5.0,"perks and work culture, internet and wifi facilities, amazing benifits",There was no cons and it was great working with bytedance,User Operations Specialist
761,2021-07-29,"Current Employee, less than 1 year",5.0,"Bytedance is good company with good benefits. I like HR and management team who are very supportive and friendly. Their salary offered bonus is quite competitive compared to others, fast-spaced and international working environment",You can’t change department internally except that you quit job then apply which is sad. I hope they would adjust in near future,Quality Assurance Analyst
762,2021-07-27,Current Employee,5.0,Good place to work at.,None that I could think of.,Intern
763,2021-08-10,Current Employee,4.0,"-social benefits, -lots of young employees",-salaries could be a lot better,Quality Analyst
764,2021-07-27,"Former Employee, more than 1 year",5.0,"ByteDance offers exceptional leadership, training & learning opportunities, you are encouraged to take initiative and new projects. Everyone is extremely approachable and helpful!",The training programmes can sometimes get a little hectic,Marketing Manager
765,2021-07-26,Current Employee,5.0,Competitive salary with attractive benefits and facilities,Jobdesk can change drastically in a matter of weeks,Community Management Specialist
766,2021-08-08,Current Employee,3.0,Good meals and external products,"Poor Management, Poor Strategy, Good culture but not being implemented well",Risk Analyst
767,2021-07-23,"Former Employee, more than 1 year",5.0,"A lot of gifts, perks, and bonuses. Amazing Work culture and work-life balance.",Everything is good about Bytedance. There are no cons.,Client Solutions Executive
768,2021-07-21,Former Employee,5.0,"free meals on weekday, free gym",maybe overtime in certain Sundays,International Product Assessment Specialist
769,2021-07-21,Current Employee,5.0,Good culture and the employees are taken care of.,nothing as such to say.,Trust and Safety Specialist
770,2021-08-03,Current Employee,3.0,Compensation is reasonable. Secondary benefits reasonable. Stock is valuable because pre-IPO,"No life balance. Negative culture, very little positive feedback provided","Senior Director, BD"
771,2021-08-02,"Former Employee, more than 1 year",4.0,"1. Cantee is great, with delicious foods., 2. Gym is perfect, with the same building.","1. some senior managers is not that qualified.,  2. OKR == KPI",Software Engineer
772,2021-07-18,Current Employee,5.0,"Fair salary, high allowance, full of young employee","Quite boring, less challenging for entry level",Content Management Specialist
773,2021-08-01,Former Employee,4.0,Great benefits and payment. They valued new starts' opinion and encourage them to take important role.,Long working hours and 24/7 on call,User Growth
774,2021-07-29,"Former Employee, more than 1 year",4.0,"Various compensations and benefits , Diversity and Inclusion, No sales mission","You may need to work through the night., You may need to work on public holidays(with holidays pay).",Content Moderator
775,2021-07-29,Former Employee,4.0,If you're stead fast and ready to adopt to changing technology. You're place to be,Can get burnt out depending on your goal structure,Anonymous Employee
776,2021-07-13,"Former Employee, less than 1 year",5.0,"Amazing culture, Helpful Colleagues, Flat hierarchy",Can't think of any con,Sales Executive
777,2021-07-27,"Current Employee, less than 1 year",4.0,"Friendly colleges , Free breakfast, lunch, and dinner, Good work-life balance as an intern","The project goal is not well defined, Diversity of employee",Research Intern
778,2021-07-27,"Current Employee, more than 1 year",3.0,The company is professional enough about the production process. You can learn a lot of industry-related things.,It's too hard to have a WLB. You need to squeeze your time to study otherwise those freshers will surpass you easily.,Machine Learning Engineer
779,2021-07-12,Current Employee,5.0,Gives opportunities to grow all over the world,Not all salaries in different regions are fair,Quality Assurance
780,2021-07-26,"Current Employee, more than 1 year",4.0,if you dont know anyone then you will end up alone. content moderation is mostly subjective but employer approach is very robotic . the performance evaluation totally depend on your TL,"grouping , politics because its new company and everyone wants to come up. anyone promotion is at the mercy of reporting manager , TL is always right and cannot question him/her. , everyone in company is well connected so integrity is totally undermined",Content Specialist
781,2021-07-23,Current Employee,3.0,"work from home, plenty of benefits","|It is a large company, it is hard to stand out and even if you do all the work, there is no recognition",Content Moderator
782,2021-07-08,Former Employee,5.0,"pretty nice benefits during WFH, nice pp","global company, all kinds of meetings in diff time zones.",Sales Associate
783,2021-07-22,"Current Employee, more than 1 year",4.0,You will work with nice colleagus and practice your ideas in the most popular app TikTok,long work time and feel pressure,Software Engineer
784,2021-08-12,"Current Employee, more than 1 year",1.0,everyday new policy update and not properly aligned. No proper communication with seniors. No pros only cons,Nothing to say if you can handle the stress and good reader to remember things and can watch nudity than this is the place for you,Quality Assurance
785,2021-07-21,"Current Employee, more than 1 year",4.0,Good place to work in office,Nothing tell bad everyone good,Video Editor
786,2021-07-05,"Current Employee, more than 3 years",5.0,great company in these years,more and more people join this company,Anonymous Employee
787,2021-07-19,"Current Employee, more than 1 year",4.0,"Salary, environment, benefits, values, flexibility","work life balance, high pressure, business fast pacing and pushing",Data Engineer
788,2021-07-19,"Current Employee, less than 1 year",4.0,very good and a nice company,the work hour is very heavy,Product Manager
789,2021-07-02,"Current Employee, more than 1 year",5.0,The company is growing fast and very much to learn per day. You will gain actual personal development than any other company.,"The business lines are a bit mess up and difficult to find a focal point to bridge your tasks. And even worse, when you find the correct person, you may find the focal point's business line is already canceled.",Global Public Policy%2C Communications and Legal PMO
790,2021-07-04,Current Employee,5.0,chill relax overall good enviroment,maybe a bonus will help,Intern
791,2021-07-04,Former Employee,5.0,"Diverse culture, Always Day 1 attitude, ready for learning and always looked after employees first.","None, would have loved for it to have lasted in India",Client Solutions Executive
792,2021-07-02,"Former Employee, more than 1 year",5.0,"Great envt, Motivating management, great perks, open to ideas, no favoritism","strict timelines, shifts for some teams, long hours, lack of inhouse trainings",Content Operations Manager
793,2021-07-01,Current Employee,5.0,"Growing fast, Mix of vertical industries, Core value and missions inspring",working hours in China is bit long,Human Resources Business Partner HRBP
794,2021-07-15,"Current Employee, less than 1 year",4.0,Good Work Culture and a lot of smart and hardworking people.,Very Fast Paced environment. Need to be a quick learner.,Software Engineer
795,2021-07-15,Current Employee,3.0,Grow fast in this kind of tech giant,Not good work life balance,Data Analyst
796,2021-06-30,Former Employee,5.0,"open, and colleagues are smart",overtime work and heavy competition,Lead Product Manager
797,2021-07-11,"Current Employee, more than 1 year",4.0,Awesome place to work and we're getting gifts monthly.,Less hike and no option for career change within the organization.,Content Moderator
798,2021-07-07,"Current Employee, less than 1 year",2.0,"None at all., Stay away if you know what's good for you.","Meetings all day., Poor WLB, Chinese in docs and in conversation",Software Engineer
799,2021-06-25,"Current Employee, more than 1 year",5.0,"Good place to work , lots of opportunities, high paced company, nice team, good growth","no work life balance, bad senior management",Anonymous Employee
800,2021-06-25,"Former Employee, more than 1 year",5.0,Everything. Innovative space with humanity at the core,None as such. Place is perfect,Anonymous Employee
801,2021-06-24,"Current Employee, more than 1 year",5.0,The company is very amazing and caring for its employees.,They Indian management is the worst part of the company as they don't see the problem which an employee faces,Senior SME
802,2021-07-06,"Current Employee, more than 1 year",4.0,"1. Good company with a lot of opportunities; , 2. Well-rounded benefits & walefare, 3. Relatively democrate organization, 4. Dynamique org atmosphere","1. Lacking of formalized/standardized training for new employees, or for leaders. A lot of leaders do not have any leadership or quality; new employees always face a mess when entering the company, 2. Too much docs with too many argots that are ""self-made"" by the company or the org, which makes it harder for new employees to understand the new environment, even for people who worked long here, 3. Not balanced perf review system; some leaders even claim they can see the reviews from their subordinates to ""threaten"" them, 4. Some teams like to work overtime to get better perf review even if they do not really have much work to do, 5. The promotion mechanism is not clear at all and it is very subjective based",Operations
803,2021-06-22,"Former Employee, more than 1 year",5.0,"Great learning, culture, process, people, candid","Not open enough, only execution, documentation dense, role clarity, stiff with internal competition",Manager
804,2021-07-06,Current Employee,4.0,"Tech atmosphere, feishu document, and so on.","Not work life balance, tired.",Software Engineer
805,2021-07-07,"Former Employee, less than 1 year",2.0,learned a lot of knowledge in fact,"toxic culture, very bad WLB",R&D Engineer
806,2021-06-20,"Current Employee, less than 1 year",5.0,"work - life balance, fun projects, bonus and gifts",sometimes the job can be boring,Quality Assurance
807,2021-06-19,"Current Employee, less than 1 year",5.0,it offers a lot of benefits,t can be difficult to gain a wide range of experience and skills,Content Moderator
808,2021-07-03,Current Employee,4.0,"Because it’s a well-funded startup, you get to work on projects that have high impact","Long hours, esp if you need to work with people in other countries",Anonymous Employee
809,2021-06-18,Current Employee,5.0,"1. Work culture is great., 2. People here are supportive, 3. Great amount of learning , 4. We keep getting gifts every month",1. Not that I can think of,Customer Success Manager
810,2021-07-01,Current Employee,4.0,"- Ownership of projects, - A lot of in house activities, - Can learn a lot, - Start up culture","- No work life balance, - Lack of communication between teams, - Low salary, - Limited chance of promotion",Anonymous Employee
811,2021-06-16,"Current Employee, more than 1 year",5.0,"employee friendly, growth culture, great opportunities to learn and connect with diverse people","startup culture, too dynamic and might seem unstable",Sales Executive
812,2021-06-24,"Current Employee, more than 1 year",3.0,"-collaborative US culture, - freedom to create impact and lead projects , - fast pace and results driven company","-HR is very disconnected from Western HR practices (it’s almost like they expect you to be grateful for working for them), -management fails to properly promote and recognize employees , -working expectations are very surreal. Often youd have meetings at 8:00am and 8:00pm at the same day.",Program Manager
813,2021-06-15,"Former Employee, more than 1 year",5.0,"Aggressive approach towards goals, OKR's are very clear","No matter how high you grow, a Chinese only will ultimately be your boss.",Community Manager
814,2021-06-29,"Current Employee, more than 1 year",3.0,"- energetic environment, really have young/startup spirit",- Long working hour in HQ about 6day 10house+ every week,Anonymous Employee
815,2021-06-14,Current Employee,5.0,Good technology working environment for RD.,Too long working time that you will lose much leisure time.,Senior Software Engineer
816,2021-06-29,"Current Employee, less than 1 year",4.0,Bytedance offers you a good place to grow businesses from 0-1.,"The company is way too big, so it needs time to 'exercise' its organization.",Anonymous Employee
817,2021-06-28,"Current Employee, more than 3 years",3.0,top level in mobile IT,do not work life balance,Software Engineer
818,2021-06-27,"Current Employee, less than 1 year",2.0,salary on time . weekend is holiday,"no job security, no work life balance, manager is not listening",Quality Analyst
819,2021-06-10,"Former Employee, less than 1 year",5.0,positive working environment and culture,No cons experienced in my career,Anonymous Employee
820,2021-06-11,"Current Employee, less than 1 year",5.0,Great company to work with,No cons I am able to find,Assistant Manager
821,2021-06-24,"Former Employee, more than 8 years",4.0,"1. smart people, 2. good compensation and great perks, 3. freedom","1. high pressure, 2. work life balance",Consultant
822,2021-06-09,"Former Employee, more than 1 year",5.0,Good boss and managers that would help you a loy,"Sometimes overwork, but it;s fine",Product Specialist
823,2021-06-07,"Current Employee, more than 1 year",5.0,Good company awesome work culture and all,No proper career growth in company,Quality Analyst
824,2021-06-06,Current Employee,5.0,People are really self-driven and open-minded. No titles or hierarchy,Career development is not quite clear,Anonymous Employee
825,2021-06-07,"Current Employee, more than 3 years",5.0,"work culture, Team spirit, Great management",nothing to mention here from my side,Anonymous Employee
826,2021-06-20,"Current Employee, more than 3 years",3.0,"1. young company, 2. good atmosphere","1. work overtime, 2. no promote, 3. company's system is not perfect",Interactive Engineer
827,2021-06-05,"Current Employee, more than 1 year",5.0,They are so much employee centric and customer centric,None that I can find,Sales Executive
828,2021-06-19,"Current Employee, more than 1 year",4.0,"Very nice culture, good benefit. People come up with unique ideas.","The company is extremely growing fast, the organization and human resource is not following it.",Quality Assurance Analyst
829,2021-06-05,Current Employee,5.0,ByteDance is a great place to work with an immense learning curve,Less scope for work life balance,Client Solutions Lead
830,2021-06-17,Current Employee,4.0,"1. high salary, 2. engineer first","1. work on Sunday, 2. extremely busy",Anonymous Employee
831,2021-06-01,"Current Employee, more than 1 year",5.0,"- Amazing management, - Very good pay, - Best work culture, - Lot of learnings, - Good Mentorship, - Can easily connect with global teams to build network or sort out issues, - LOT of care towards employees, - Many surprises (you'll get unexpected gifts)","We can find cons at every place, that's part of work life. But I haven't witnessed anything intense to highlight here.",Sales Executive
832,2021-06-02,"Current Employee, more than 1 year",5.0,"Very supportive, lots of perks, lots of career growth opportunities.",Work hours can be long due to global meeting with other countries.,Anonymous Employee
833,2021-05-31,"Former Employee, less than 1 year",5.0,"Human Resource department is great, salary hikes are great, Inquisitive and insightful minds to work with","Nothing as such, it’s great",Growth
834,2021-06-01,Current Employee,5.0,I think it's a great learning experience working at ByteDance. People are friendly and willing to teach me about stuff.,I can't really think of any right now. Maybe hours?,Data Analyst
835,2021-06-15,Current Employee,4.0,"big company, able to meet people with great skills",office politics is fairly prevailing,Backend Developer
836,2021-05-30,"Current Employee, more than 3 years",5.0,Everything is just perfect as heaven,Not any to be considered as cons,Anonymous Employee
837,2021-05-31,"Current Employee, more than 1 year",5.0,"Top class work culture, employee centric",Job security is less because of the Indo china relation,Client Solutions Executive
838,2021-05-31,Former Employee,5.0,Great Culture and Work life Balance. Great people to work with,Not much come to mind. Not a high paying organization for MBAs,Client Service Representative
839,2021-05-26,"Former Employee, less than 1 year",5.0,"Lots of training, good money, they respect and promote the cultural diversity you belong to, lots of gifts, get to learn a lot about the digital ad industry, good medical coverage.",everything happens over video call which is turn off but cant help it because of the on going pandemic.,Senior Manager Ad Sales
840,2021-05-26,Current Employee,5.0,"Friendly colleague, good working environment",Unclear about the salary structure,Senior Subject Matter Expert
841,2021-06-08,Current Employee,4.0,ByteDance is a great company with relax working environment,you need to be hardworking in ByteDance,Consultant
842,2021-06-09,Current Employee,4.0,"competitive salary, big organization, great team",work life balance is not very satisfied,Human Resources Specialist
843,2021-05-24,Current Employee,5.0,Good work benefits and good support.,—- —- —— —- —,Social Media Content Moderator
844,2021-05-24,Current Employee,5.0,Great culture and competitive pay,I did not encounter any,Client Solutions Executive
845,2021-06-06,"Current Employee, less than 1 year",3.0,"Got to work on some nice projects, the team is nice","Low salary, the workload gets out of hand sometimes, mandatory work on Sunday twice a month, horribly intricate internal bureaucracy",Localization Project Manager
846,2021-05-21,Current Employee,5.0,Really great company to work with,None that I can think of,Anonymous Employee
847,2021-05-22,Current Employee,5.0,learned a lot and you can grow with the company,busy life and hard to keep up the pace,HRD Officer
848,2021-05-20,"Former Employee, more than 1 year",5.0,all is well awesome culture and environment,all is well.. nothing to say,Social Media Content Moderator
849,2021-05-19,"Current Employee, less than 1 year",5.0,People oriented company and a positive culture cultivated.,"All good, not at the moment",Talent Acquisition Specialist
850,2021-05-19,"Current Employee, more than 1 year",5.0,"culture, benefits, perks, salary, learning","ppl with less experience are team leads, less people management",Global Account Manager
851,2021-05-19,Current Employee,5.0,"1. Great equality and atmosphere, 2. Good tech stack, 3. Advanced methodology",1. Not so good wlb,Senior Front End Developer
852,2021-06-03,Former Employee,4.0,"- Lots of opportunities, - Smart colleagues, - Best practices in all of consumer internet",A culture of 996. You work from eyes open to eyes shut. You also work every other Sunday. Not ideal for older employees who want a family.,Product Manager
853,2021-06-03,Current Employee,4.0,Big company with a perfect system,"High work pressure, high intensity of overtime",Data Analyst
854,2021-06-01,"Former Employee, more than 1 year",3.0,"young team, enjoyable working environments, good benefits","Always work over time, hard to get promotion",Advertising Media Executive
855,2021-05-17,Current Employee,5.0,The culture is great. And they offer a generous compensation.,I cannot think of any cons.,Anonymous Employee
856,2021-05-18,Current Employee,5.0,"Wonderful and friendly working environment, meaningful job, fast-paced, can grow fast, Good salary, Free meals, Gifts, Snacks, Mask sanitizers to its employees","Less work life balance than regular companies, high pressure, fast-paced, hard to feel a sense of PD","Manager, Contracts"
857,2021-05-18,"Current Employee, more than 1 year",5.0,Good place to work and friendly enviroment,Depends on the reporting Team Leader,Content Moderator
858,2021-05-30,Current Employee,4.0,"Pay is high, gifts always being sent and they take care of you.",Higher ups tend to be a little to biased.,Quality Assurance
859,2021-05-16,Former Employee,5.0,"reasonable pay，good environment，prosperous，lots of people, kind boss",Tense rhythm，Fast flow of talents，hard task，short time，Not serious enough,Human Resources
860,2021-05-14,Former Employee,5.0,"Good culture, Great Experience, Great people","Target oriented, many people, large workforce",Content Specialist
861,2021-05-26,Current Employee,4.0,pople are really nice and good team work,too busy over work too fast,Customer Service
862,2021-05-11,"Current Employee, more than 3 years",5.0,Care taken of the employees is similar to what parents do to a new born baby. Absolutely touched.,There are very few and hard to remember,Trust and Safety Specialist
863,2021-05-11,Current Employee,5.0,"Flexible work hour, fast growing culture and diversity.",Communication is sometime condicted in Chinese.,Marketing Manager
864,2021-05-25,"Current Employee, less than 1 year",4.0,"Fast Development, Energetic, Promising, Location","Intense, Competition, Fast Pace, Foreign",Data Scientist
865,2021-05-10,"Current Employee, more than 1 year",5.0,"Awesome team, great salary, perfect working environment with positive guidance around",wasn't able to find one,Account Manager
866,2021-05-24,Current Employee,2.0,innovation is great and driver for the company,doesn't treat people with respect,Project Manager
867,2021-05-06,"Current Employee, more than 1 year",5.0,The working atmosphere is really good. The pay is great,I'm in Beijing office so sometimes have to work until 9pm,Product Manager
868,2021-05-09,"Former Employee, more than 1 year",5.0,"free food, flexible work, awesome culture",couldnt find any cons here,Content Specialist
869,2021-05-07,"Former Employee, less than 1 year",5.0,"flat hierarchy, open communications in general",lots of back and forth collaborating with International offices,Intern
870,2021-05-06,"Current Employee, more than 1 year",5.0,"Wonderful work environment, good Compensations & Benefits","Less work Life balance, Almost 12hrs job",Account Manager
871,2021-05-06,"Current Employee, more than 1 year",5.0,"Clear and long term thinking from management team, get to know a lot of talented colleagues from all over the world.","Long working hours, especially in mainland China offices",Strategy Manager
872,2021-04-09,"Current Employee, more than 3 years",5.0,"- Full of talented team members, - Projects are really interesting to work on, I look forward to work every day, - Awesome benefit, awesome benefit, awesome benefit: important things should be mentioned 3 times","Tons of things to do. Not that anyone will aggressively push you, but because everyone is moving fast, it's easy to feel lagged behind., Work schedule can be really crazy due to the need of working with teams in Asia.",Senior Software Engineer
873,2021-05-06,"Former Employee, more than 1 year",5.0,"Great Salary, Great Culture, Perks, Great minds all around, Great vision to change the industry, Cash rich","Not Much , its just that sometimes faced communication issues with the HQ team .",Product Manager
874,2021-05-19,Current Employee,4.0,"good culture, product keep growing fast",work load is very high,Director
875,2021-05-03,Current Employee,5.0,"Good salary advancement, career advancement, benefits etc",No cons to disclose as Im satisfied with my work,Senior SME
876,2021-05-16,"Current Employee, less than 1 year",4.0,"- talents are great, - great chance with lots of view","- poor work life balance, - care less",Data Scientist
877,2021-05-16,"Former Employee, less than 1 year",4.0,"Open door policy, ample exposure",No cons as of now,Team Leader
878,2021-05-01,"Current Employee, less than 1 year",5.0,"Programming and Software Development ,etc.",Sometimes may be a little busy and break the WLB,Anonymous Employee
879,2021-04-30,"Former Employee, less than 1 year",5.0,"- Inspiring work culture, - Creative freedom to experiment, fail and learn and then create beautiful initiatives out of it by being bold enough to try again., - Extremely supportive management, - Positive environment","To be quite honest, NONE.",Community Management Specialist
880,2021-04-30,"Current Employee, more than 1 year",5.0,Brilliant Work Culture. Perhaps the best that I have seen.,Quite a bit of insecurity across various communities,Brand Strategy Lead
881,2021-05-13,Current Employee,4.0,Great company to work for,"Benefits, socials, co-workers, team work, amazing office",Content Moderator
882,2021-05-13,Current Employee,4.0,Fast growth. Rapidly changing product.,People heavy company philosophy which slows decisions,Director
883,2021-04-28,"Current Employee, less than 1 year",5.0,Amazing work culture and work like balance,Less pressure and too much pampering,Anonymous Employee
884,2021-04-27,"Current Employee, less than 1 year",5.0,"- Autonomy, - Flexibility, - Global environment","- Fast changing environment, needs hard adaptation, - Lack of localization of policies",HRBP
885,2021-04-26,Current Employee,5.0,good place to work with high salary,working pace is tight and exhuasting,Financial Analyst
886,2021-05-10,"Former Employee, more than 1 year",4.0,"Independent, Learning, Industry exposure, Abroad experience, Perks, Evaluation","Country leadership role management, Incentives, Recognition, Favoritism",News Operations Staff
887,2021-05-07,"Former Employee, less than 1 year",3.0,"Challenging works, people are nice, flat organizational structure.",should work on Sat. overlapping works between same teams.,Software Engineer
888,2021-05-06,Current Employee,4.0,"fast growing, many new businesses",lack of structuring and long term strategy,Director of Operations
889,2021-04-21,"Current Employee, more than 1 year",5.0,"Good remuneration , Provides benefits, medical, dental and optical",Some team leaders can be hard to work with,Content Labelling
890,2021-05-04,Current Employee,4.0,good salary but too many work,"no wlb , but still hard",Software Engineer
891,2021-04-19,Former Employee,5.0,I met lots of nice people there and learnt how to manage a project from 0 to 1.,"actually, I have no cons to share with you guys.",Product Manager
892,2021-04-19,"Current Employee, more than 3 years",5.0,Good Company to work with it,"- nothing bad , its totally good",Team Leader
893,2021-04-15,"Current Employee, more than 1 year",5.0,"Scope of work, Pay vs Industry, Culture","Senior talent , Banned/ shutdown in India",Brand Strategist
894,2021-04-18,"Current Employee, more than 1 year",5.0,"Open Management, Freedom, Fun at Work, Your voice and Ideas are heard and recocgnized",Not trusted by Indian Govt,Product Business Manager
895,2021-04-19,Former Employee,5.0,Employee oriented company with a focus on a holistic work culture,High pressure environment and fast paced workspace may affect people who arent used to that kind of work,Growth Marketing Manager
896,2021-04-16,"Current Employee, more than 5 years",5.0,"It's great experience , you can work from home",There is no bosses in bytedance. Everyone are the same.,Content Moderator
897,2021-04-15,"Current Employee, more than 1 year",5.0,"Competitive Salary, Flat Structure, Free meal, Bonus and other welfare",No cons so far I found,Anonymous Employee
898,2021-04-29,Current Employee,3.0,Products that are at the forefront of trends. I think it is a fun place to work for a follower of each new fad.,"High-pressure environment. There are tons of short messages (like Slack) regardless of working hours, evenings, weekends, or days off. If I'm unaware of the message, such as in the evening, I may receive an urgent notice called ""buzz"" (a push message from your phone or smartphone).",Product Strategy and Operations
899,2021-04-29,Current Employee,3.0,"Fast paced, great for learning","Internal communication, somehow unstructured, gaps are often seen",Program Manager
900,2021-04-14,"Current Employee, less than 1 year",5.0,So far Bytedance has been a great company to work with as there are lots of benefits and perks plus they really take good care of their employees,The company is still quite new and will need more improvement of its systems etc but overall they are progressing well and I believe they will achieve more moving forward,Content Moderator
901,2021-04-28,Former Employee,4.0,Approachable leadership and great culture,Got banned but people were nice,Anonymous Employee
902,2021-04-13,Current Employee,5.0,"This might be an exaggeration since I have worked only 1 year, but the culture was honestly very good. Yes there are uncertainity sometimes but since everyone is going through the same thing, they treat you very well","Not structured approach, which is expected as it is still a startup",Customer Success Manager
903,2021-04-25,"Current Employee, more than 1 year",4.0,surrounded by great talents who are very self-driven,bad work-life balance and manager is not that good,Program Manager
904,2021-04-07,"Current Employee, more than 1 year",5.0,Excellent opportunities to learn and grow and work life balance.,"No cons as such, best environment to keep you going.",Business Operations Manager
905,2021-04-07,Current Employee,5.0,popular software in UK and EU,very busy in this company,Software Developer
906,2021-04-21,"Current Employee, more than 5 years",4.0,Work pace is very fast,it‘s not friendly to 35+year old person,Content Operations
907,2021-04-06,"Former Employee, less than 1 year",5.0,Beat place to work in media,"No cons, the company doesn't leave anything to complaint",Assistant Manager
908,2021-04-20,Current Employee,4.0,"Great benefits, lots of learning opportunities",Work life balance is pretty bad,Product Manager
909,2021-04-20,Current Employee,4.0,Start up environment with strong Entrepreneurship,"Loosely controled management, without matured process, culture and growing path",Sales Operations Manager
910,2021-04-20,Former Employee,4.0,An amazing company to work with. Give you the space to flourish in your field of excellence.,Nothing as such. Everything was great,Community Management Specialist
911,2021-04-20,Current Employee,3.0,not too bad good benefit,still can improve for benefit,Social Media Content Moderator
912,2021-04-05,"Current Employee, less than 1 year",5.0,"Always day 1 approach, transparency, people, benefits, opportunities",None none none none none,Senior Library Manager
913,2021-04-05,"Former Employee, less than 1 year",5.0,"Well organised, Great people to work with, Great salary, Amazing culture",Cant find any. They are the best,Community Manager
914,2021-04-05,Current Employee,5.0,Good working atmosphere with helping colleagues,Will get to learn new things,Social Media Content Moderator
915,2021-04-05,"Former Employee, more than 1 year",5.0,"1. To understand the content creator, their intentions, the audience, their needs and desires. , 2. Managed and owned multiple projects of content operation. , 3. Worked on market analysis and content research on competitor apps. , 4. Real time app moderation and reporting bad cases. , 5. Managed specific language team as SPOC enabling AI machine to increase efficiency of moderating content. Search optimization project helped perfect search results in the app.",Managing time. Staying organized. Collaborating. Mastering your mind. Final thoughts.,Content Strategist
916,2021-04-19,"Current Employee, more than 1 year",4.0,"You will be surrounded with dynamic and talented people from different backgrounds, which really enable you to learn and grow fast.","Poor work life balance. Need to work till late night most of the time, and need to work every other sunday.",Product Marketing Manager
917,2021-04-04,Current Employee,5.0,"Culture, Learning, People, Employee benefits, philosophy",Nothing to dislike about the org yet.,Anonymous Employee
918,2021-04-18,"Current Employee, less than 1 year",4.0,"High-growing, free to work and more vision to overseas market",Lack of successful game product,Game Publishing Producer
919,2021-04-16,Current Employee,3.0,Amazing team to work together. Sufficient support from management and support staff to help in team management.,Almost 0 work life balance. Shift work contributes to this. Extremely fast paced with constant changes which makes catching up tiring and depressing.,Team Leader
920,2021-03-25,Current Employee,5.0,"Kitchen is very good, offer Chinese food",Work very late at night,Software Engineer
921,2021-04-15,Current Employee,4.0,"Big Name Company, and grows fast",Not a well pay job,2-1-1 Specialist
922,2021-03-30,Former Employee,5.0,"Culture, Employee benefits, Learning Exchange, X collaboration, Steep learning curve","Lack of clarity on role and responsibilities, Ownership of deliverables",Manager
923,2021-03-30,"Current Employee, less than 1 year",5.0,"1. Good salary, 2. Fast-paced: you may develop your skills fast","1. High pressure;, 2. Very long working time.",Data Analyst
924,2021-03-31,"Current Employee, less than 1 year",5.0,No politics. Value your work.,Nothing to mention particularly about,Anonymous Employee
925,2021-03-29,Current Employee,5.0,everyone work hard and always day 1,working time is too long,Data Analyst
926,2021-03-29,"Former Employee, more than 1 year",5.0,To learn new things is a best part of my job.,Sometimes work culture are different from Indian perspective.,Content Operations Specialist
927,2021-04-11,Former Employee,4.0,"Good Culture, Work-Life Balance, Lot of Training, Supportive Senior Management","Uncertainty, Communication gap, Nothing more",Account Manager
928,2021-04-30,Current Employee,1.0,it offers good conditions and compensation,company lacks transparency in decision making,Partnerships Manager
929,2021-03-24,"Current Employee, more than 1 year",5.0,"flexibility, competitive salary, easy to growth in this company",no off day on weekend,Content Moderator
930,2021-03-24,Former Employee,5.0,No politics. Value your work,Nothing to mention particularly about Bytedance,Social Media Content Moderator
931,2021-04-07,"Current Employee, more than 1 year",3.0,An employee centric organization. Thats it.,I didn't achieved what I wanted to. There were many reasons mainly because of the challenges faced the company against the Indian Government.,Operations Manager
